"Color","Count","Locations"
"#1E293B","69",".\components\Input.tsx:48, .\components\Input.tsx:59, .\app\(web)\index.tsx:508, .\app\(web)\index.tsx:565, .\app\(web)\index.tsx:746, .\app\(web)\features.tsx:261, .\app\(web)\features.tsx:277, .\app\(web)\features.tsx:302, .\app\(web)\features.tsx:364, .\app\(web)\features.tsx:406, .\app\(web)\features.tsx:434, .\app\(web)\cookies.tsx:249, .\app\(web)\cookies.tsx:263, .\app\(web)\cookies.tsx:269, .\app\(web)\terms.tsx:262, .\app\(web)\terms.tsx:276, .\app\(web)\terms.tsx:282, .\app\(web)\refund.tsx:239, .\app\(web)\refund.tsx:253, .\app\(web)\refund.tsx:259, .\app\(web)\privacy.tsx:216, .\app\(web)\privacy.tsx:230, .\app\(web)\privacy.tsx:236, .\app\(web)\pricing_web.tsx:584, .\app\(web)\pricing.tsx:350, .\app\(auth)\register.tsx:236, .\app\(auth)\login.tsx:293, .\app\(auth)\login.tsx:352, .\components\leads\LeadDetailModal.tsx:476, .\components\leads\LeadDetailModal.tsx:509, .\components\leads\LeadDetailModal.tsx:538, .\components\leads\LeadDetailModal.tsx:566, .\components\leads\LeadDetailModal.tsx:665, .\app\(tabs)\search.tsx:543, .\app\(tabs)\search.tsx:557, .\app\(tabs)\search.tsx:616, .\app\(tabs)\profile.tsx:920, .\app\(tabs)\profile.tsx:928, .\app\(tabs)\profile.tsx:940, .\app\(tabs)\profile.tsx:957, .\app\(tabs)\profile.tsx:1165, .\app\(tabs)\profile.tsx:1172, .\app\(tabs)\profile.tsx:1271, .\app\(tabs)\pricing.tsx:1408, .\app\(tabs)\pricing.tsx:1449, .\app\(tabs)\pricing.tsx:1480, .\app\(tabs)\pricing.tsx:1498, .\app\(tabs)\pricing.tsx:1522, .\app\(tabs)\pricing.tsx:1548, .\app\(tabs)\pricing.tsx:1575, .\app\(tabs)\pricing.tsx:1585, .\app\(tabs)\pricing.tsx:1616, .\app\(tabs)\pricing.tsx:1630, .\app\(tabs)\leads.tsx:1108, .\app\(tabs)\leads.tsx:1143, .\app\(tabs)\index.tsx:186, .\app\(tabs)\index.tsx:208, .\app\(tabs)\index.tsx:260, .\app\(tabs)\index.tsx:304, .\app\_backup_pricing\pricing_stripe_backup.tsx:953, .\app\_backup_pricing\pricing_stripe_backup.tsx:994, .\app\_backup_pricing\pricing_stripe_backup.tsx:1025, .\app\_backup_pricing\pricing_stripe_backup.tsx:1043, .\app\_backup_pricing\pricing_stripe_backup.tsx:1067, .\app\_backup_pricing\pricing_stripe_backup.tsx:1093, .\app\_backup_pricing\pricing_stripe_backup.tsx:1120, .\app\_backup_pricing\pricing_stripe_backup.tsx:1130, .\app\_backup_pricing\pricing_stripe_backup.tsx:1161, .\app\_backup_pricing\pricing_stripe_backup.tsx:1175"
"#1E3A5F","1",".\app\(web)\index.tsx:819"
"#1E40AF","8",".\lib\theme.tsx:78, .\components\DeleteAccountModal.tsx:265, .\components\community\PostCard.tsx:1054, .\app\(tabs)\search.tsx:681, .\app\(tabs)\search.tsx:713, .\app\(tabs)\search.tsx:781, .\app\(tabs)\pricing.tsx:1710, .\app\_backup_pricing\pricing_stripe_backup.tsx:1255"
"#1F2937","10",".\lib\theme.tsx:143, .\lib\theme.tsx:144, .\components\DeleteAccountModal.tsx:214, .\components\DeleteAccountModal.tsx:241, .\components\web\WebHeader.tsx:117, .\components\web\WebHeader.tsx:119, .\app\(web)\pricing_web.tsx:390, .\components\community\UpgradePromptModal.tsx:151, .\components\community\UpgradePromptModal.tsx:207, .\components\community\QuickPostBar.web.tsx:686"
"#2563EA","3",".\app\(web)\index.tsx:463, .\app\(web)\index.tsx:478, .\app\(web)\index.tsx:821"
"#2563EB","92",".\lib\theme.tsx:77, .\lib\theme.tsx:140, .\components\Button.tsx:72, .\components\Button.tsx:80, .\components\Button.tsx:110, .\components\Button.tsx:113, .\components\web\WebHeader.tsx:247, .\components\web\WebHeader.tsx:330, .\components\web\WebHeader.tsx:351, .\components\web\WebHeader.tsx:361, .\components\web\WebHeader.tsx:367, .\components\web\WebHeader.tsx:416, .\components\web\WebHeader.tsx:421, .\components\web\WebFooter.tsx:92, .\app\(web)\index.tsx:185, .\app\(web)\index.tsx:223, .\app\(web)\index.tsx:754, .\app\(web)\index.tsx:768, .\app\(web)\features.tsx:128, .\app\(web)\features.tsx:161, .\app\(web)\features.tsx:204, .\app\(web)\features.tsx:349, .\app\(web)\features.tsx:443, .\app\(web)\features.tsx:474, .\app\(web)\pricing_web.tsx:46, .\app\(web)\pricing.tsx:41, .\components\community\CommunityFeed.tsx:311, .\components\community\CommunityFeed.tsx:314, .\components\community\CommunityFeed.web.tsx:314, .\components\community\CommunityFeed.web.tsx:317, .\components\community\UpgradePromptModal.tsx:58, .\components\community\UpgradePromptModal.tsx:183, .\components\community\UpgradePromptModal.tsx:203, .\components\community\PostCard.tsx:1211, .\app\(auth)\register.tsx:83, .\app\(auth)\login.tsx:167, .\components\leads\LeadDetailModal.tsx:246, .\components\leads\LeadDetailModal.tsx:310, .\components\leads\LeadDetailModal.tsx:313, .\components\leads\LeadDetailModal.tsx:331, .\components\leads\LeadDetailModal.tsx:334, .\components\leads\LeadDetailModal.tsx:397, .\components\leads\LeadDetailModal.tsx:656, .\app\(tabs)\_layout.tsx:12, .\app\(tabs)\search.tsx:354, .\app\(tabs)\profile.tsx:460, .\app\(tabs)\profile.tsx:611, .\app\(tabs)\profile.tsx:647, .\app\(tabs)\profile.tsx:683, .\app\(tabs)\profile.tsx:736, .\app\(tabs)\profile.tsx:793, .\app\(tabs)\profile.tsx:980, .\app\(tabs)\profile.tsx:998, .\app\(tabs)\profile.tsx:1010, .\app\(tabs)\profile.tsx:1075, .\app\(tabs)\profile.tsx:1084, .\app\(tabs)\profile.tsx:1102, .\app\(tabs)\profile.tsx:1111, .\app\(tabs)\profile.tsx:1134, .\app\(tabs)\profile.tsx:1254, .\app\(tabs)\pricing.tsx:850, .\app\(tabs)\pricing.tsx:958, .\app\(tabs)\pricing.tsx:984, .\app\(tabs)\pricing.tsx:992, .\app\(tabs)\pricing.tsx:1029, .\app\(tabs)\pricing.tsx:1278, .\app\(tabs)\pricing.tsx:1322, .\app\(tabs)\pricing.tsx:1426, .\app\(tabs)\pricing.tsx:1432, .\app\(tabs)\pricing.tsx:1455, .\app\(tabs)\pricing.tsx:1527, .\app\(tabs)\leads.tsx:661, .\app\(tabs)\leads.tsx:662, .\app\(tabs)\leads.tsx:758, .\app\(tabs)\leads.tsx:769, .\app\(tabs)\leads.tsx:774, .\app\(tabs)\leads.tsx:777, .\app\(tabs)\index.tsx:64, .\app\(tabs)\index.tsx:129, .\app\(tabs)\index.tsx:153, .\app\(tabs)\index.tsx:234, .\app\(tabs)\index.tsx:271, .\app\_backup_pricing\pricing_stripe_backup.tsx:517, .\app\_backup_pricing\pricing_stripe_backup.tsx:619, .\app\_backup_pricing\pricing_stripe_backup.tsx:645, .\app\_backup_pricing\pricing_stripe_backup.tsx:653, .\app\_backup_pricing\pricing_stripe_backup.tsx:689, .\app\_backup_pricing\pricing_stripe_backup.tsx:867, .\app\_backup_pricing\pricing_stripe_backup.tsx:971, .\app\_backup_pricing\pricing_stripe_backup.tsx:977, .\app\_backup_pricing\pricing_stripe_backup.tsx:1000, .\app\_backup_pricing\pricing_stripe_backup.tsx:1072"
"#25D366","1",".\components\community\PostCard.tsx:1163"
"#334155","3",".\app\(web)\index.tsx:395, .\app\(web)\index.tsx:615, .\app\(web)\pricing.tsx:460"
"#34D399","1",".\lib\theme.tsx:149"
"#374151","7",".\lib\theme.tsx:147, .\components\web\WebHeader.tsx:345, .\components\web\WebHeader.tsx:399, .\components\community\CommunityFeed.tsx:661, .\components\community\CommunityFeed.web.tsx:664, .\components\community\CommunityFeed_WORKING_BEFORE_FILTERS.tsx:362, .\components\community\PostCard.tsx:1068"
